"asset_id","dev_eui","join_eui","app_key","provision_utc","fw_version","hw_version","hw_profile","name_prefix","tag_client","decal_type"
"UNIT-0001","464C58FBE3BD14C6","0AD4489AAD2A7E41","49E63DD6B16BF21554D259FB6C689A90",,,,,,,
"UNIT-0002","464C5860E29B67E5","4AA0AEB06AA69E75","8B930905514C1641F1E8E8503FA78E88",,,,,,,
"UNIT-0003","464C58AF098A4488","F66BA61417F3E7F0","B975730ED2E12ACF2357AEE3F7EB9C78",,,,,,,
"UNIT-0004","464C5884D5A749A1","5E44CE6B179CB4F2","2DC129F1E637E43FB95B587FE145711D",,,,,,,
"UNIT-0005","464C5890D37F8B8B","BE96DC431014352C","FFE7BB78965FE1EC45DA0688725B7B7E",,,,,,,
"UNIT-0006","464C58A1A357D929","C69206A8CFBE3218","8B2C0B337D94899FDCE30600C2FF0A6D",,,,,,,
"UNIT-0007","464C582C7B3EBEEB","66C28833777DBE0E","3DE54F88B18A70E5902AC228581DAC47",,,,,,,
"UNIT-0008","464C58BDD9B524CE","56F8EE554759097C","B4D359A4E17E0F8635653B60A6870CA1",,,,,,,
"UNIT-0009","464C58478BC3756B","52889746D9675698","B297454A3C43ACC93BDEA812212AD354",,,,,,,
"UNIT-0010","464C5888EB9AB1E9","A20D0306E1B1ADE8","D86E9A5A718D75A9570C5774EFA6C240",,,,,,,
"UNIT-0011","464C58DB49AC114B","6EDD37B4BB684772","9A47898406FECDFDBF042AF7BE6BE8F9",,,,,,,
"UNIT-0012","464C58BED2E2F1EC","B6668CEBC230C211","F0770207FCC11E51AF81F5E0C2DF0CF2",,,,,,,
"UNIT-0013","464C58C9E98AE185","36342D35BF7305CC","E0C6A2552BA5D3D9F0DFE1D0CB8BC276",,,,,,,
"UNIT-0014","464C58219E52E793","CE3AA09E54062CC8","A2989B687B8DD714A4C9652A43AD1EE4",,,,,,,
"UNIT-0015","464C5822B3FB30CA","A6052BA7B1EF26E5","0EE60EE287599626192C7459BCA5E35A",,,,,,,
"UNIT-0016","464C581DE88AEA4C","9E2ACE6E4890E806","68B0D9CFDED67A13E185D6E0086AFB25",,,,,,,
"UNIT-0017","464C58D9E248B830","2ECE5B9E166B4353","7307D5B6D7EDD28B98A8C2D681BBAB78",,,,,,,
"UNIT-0018","464C582B9BDBCC5F","B6CCB7FD50CA4F5E","B5ED849F3BA97E358D42E74FFEE6F80B",,,,,,,
"UNIT-0019","464C583EA006FF75","FAC0CA3325401F1C","D15BDD745AE4FE8B45DA771F4D63D708",,,,,,,
"UNIT-0020","464C585DCF662384","124ECD171A806077","BFACAD41099CB7D475E0898911554661",,,,,,,
"UNIT-0021","464C5836DA5420AE","6281959496C8E2E1","64C40E40EB8461993968C37C1ACD6025",,,,,,,
"UNIT-0022","464C58674EE6DD52","9683B5B30E05A66F","16FD996F0AFDCC0D8ECBDCFFEC8385C6",,,,,,,
"UNIT-0023","464C58A1A0E5F392","663CF789C6991BB7","A01055B48EC1801FD337CBDDDB46E047",,,,,,,
"UNIT-0024","464C580BCE044FFA","BE187E517E66D2DB","0BDFA0F5CDB520AE839444DD11F38C17",,,,,,,
"UNIT-0025","464C587B6145AFCA","7A8AD6C6124D28CE","B61DFB84AC93553C6B7F9C71D58E24B1",,,,,,,
"UNIT-0026","464C5805815B38D8","8E9CE977CE231176","629255B2C832A2B08FF70524084C6E70",,,,,,,
"UNIT-0027","464C588F6C834797","4ACF2A88226F411A","5DC75C040664E5B31DF8208299B77283",,,,,,,
"UNIT-0028","464C583BBD6B4EE6","8EC49F7E3AAAC824","8ED8763240D3D7C3FD87F9CDE7AD706F",,,,,,,
"UNIT-0029","464C58246D94EFDF","C2E81E7AC32EE9A3","A6F81C44433D62A0CF0C4D33D158DFCF",,,,,,,
"UNIT-0030","464C58DE99454F03","F63281F49E11E049","A4B594C27C246DEDB2B064B177AF2BE0",,,,,,,
"UNIT-0031","464C58327B2A8874","A6EA73CFE43F1724","71836D71D9C64E7EE4965C75124CB6DD",,,,,,,
"UNIT-0032","464C5887CF90D712","C6692E5EA40F2145","7594E521DA60C63CAE4EFE6B9BA0237D",,,,,,,
"UNIT-0033","464C58AD74E8DD0E","22CCE3E1FA07F3A4","175EEFB44DEA5964AA97E9684E00FCA0",,,,,,,
"UNIT-0034","464C5876F2F6D930","CE632434162455D9","7BCB44B45D7D119C21C87A9A2BCC83B1",,,,,,,
"UNIT-0035","464C58ABB5864595","F628D288345BD09F","F79F16F730CD5E7EEE620D10B11C74F5",,,,,,,
"UNIT-0036","464C58E131CD9525","26B5CD32D807AE7B","48BD95316CD6D9A5F8CA9ACE2C33CC39",,,,,,,
"UNIT-0037","464C581361A65277","62F0700383754D9D","45074144D7665A305AAF1CA135C2520C",,,,,,,
"UNIT-0038","464C5823B460E898","0A3B0C3B698D1AA1","A932D2079564C4E43246F5D3B98910C5",,,,,,,
"UNIT-0039","464C58F026F926C2","C2E985BFBC936E39","35F0F14960BA3F0C9D80989EDC3EF8CD",,,,,,,
"UNIT-0040","464C58C56B3C2AC8","A6AE43322B04996E","1B469AD2F9E5524F6B5BEC312445565B",,,,,,,
"UNIT-0041","464C58E8B5D0BC32","CA350D2BF3B10AFB","40630C3C4A4825663CA340002B56CB0C",,,,,,,
"UNIT-0042","464C5855877D12B5","D63856E6E6ECC03F","DD8E6CD1408E0094BAF45941ABD9DA4D",,,,,,,
"UNIT-0043","464C589AF9B3569D","72D749BD5D650F2B","36F71859E26E6AB3884288AB995AC103","2026-06-14T18:06:51Z","1.5.0","1.4.1","FLEXBOX_PLUS","MRS","Marseille Provence Airport","Restroom"
"UNIT-0044","464C58BC07E12738","9627B00C0FBE4B9C","4F391127BD0EF5BE45240BEFA07DA6BB","2026-06-14T18:18:04Z","1.5.0","1.4.1","FLEXBOX_PLUS","MRS","Marseille Provence Airport","Restroom"
"UNIT-0045","464C580CCFB4650A","46F812C6283320A1","A2ED1E615BA584236447AECAFC855F4F","2026-06-14T18:19:55Z","1.5.0","1.4.1","FLEXBOX_PLUS","MRS","Marseille Provence Airport","Restroom"
"UNIT-0046","464C58456E3505F8","E2F253F95F7D7FF2","AAE9BE2723DAD774000BE3D7375052A3","2026-06-14T18:21:33Z","1.5.0","1.4.1","FLEXBOX_PLUS","MRS","Marseille Provence Airport","Restroom"
"UNIT-0047","464C5849E03280D4","3E04BF9515D9379B","63E72F4D7FCB1DAB59E09ECA9242795A","2026-06-14T18:27:06Z","1.5.0","1.4.1","FLEXBOX_PLUS","MRS","Marseille Provence Airport","Restroom"
